,ra,dec,type,u,g,r,i,size
618,185.076014859,15.1868565037,3,25.95953,21.81007,20.57862,19.98588,0.990609
619,185.075784948,15.0714205651,6,23.28003,22.55594,21.83716,21.47984,0.7326779
620,185.075338911,15.0824436922,6,23.92878,22.91094,24.39496,22.79678,-9999.0
621,185.030230846,15.139465873,6,22.44449,21.3466,20.93049,20.79779,0.5438468
622,185.02975678,15.1188060379,6,24.38608,22.50199,21.25988,19.66794,0.6053683
623,185.02945498,15.1471089618,6,24.63996,22.60716,22.00432,22.46085,1.762522
624,185.029248096,15.0301005812,3,22.28244,21.05617,20.05125,19.54296,0.8517555
625,185.029399307,15.1210643982,3,23.70174,22.34278,21.55433,21.22198,0.9575559
626,185.029441462,15.1226062305,3,24.99125,22.7366,21.78476,20.82147,1.108856
627,185.110796906,15.0680665398,3,12.59139,10.79535,10.50441,10.41912,2.598818
628,185.110810384,15.068075842,3,12.59613,10.7933,10.49049,10.3899,2.614528
629,185.075224189,15.0623128517,6,18.31476,15.844,14.43173,16.03405,1.201195
630,185.07522419,15.0623128567,6,18.31464,15.84411,14.43161,16.03144,1.200993
631,185.075244137,15.0623202962,6,18.30161,15.84287,14.43091,16.03106,89.50269
632,185.029546041,15.0725066937,6,20.44737,19.03833,18.4333,18.25715,0.5689538
633,185.029565066,15.072513915,6,20.36992,19.00729,18.39542,18.20324,14.13817
634,185.030353495,15.0376205003,3,23.10468,23.2523,22.23604,22.15128,-9999.0
635,185.029622497,15.0005692502,3,23.1361,23.83941,22.03475,21.218,1.158018
636,185.110775084,15.1597276256,3,25.94929,23.53508,21.67366,21.73137,0.9990667
637,185.110777037,15.1597270063,3,26.04374,22.40005,21.60333,21.73631,-9999.0
638,185.110690348,15.1973681876,6,23.35137,22.90131,22.28699,22.08364,4.039795
639,185.110779351,15.1523960937,3,21.8975,22.07914,21.15026,21.16068,0.8101791
640,185.110697777,15.0249563973,3,25.19588,24.06777,21.67149,21.33743,0.1750892
641,185.11032841,15.0261149103,3,22.57631,22.57271,22.38615,21.57878,0.8298901
642,185.110326272,15.0260995097,3,22.22443,22.19348,21.89135,21.19988,0.8456849
643,185.029561609,15.0725007725,6,20.57523,18.93125,18.47525,18.1932,0.6785768
644,185.02957007,15.0724981374,6,20.48954,18.90971,18.44963,18.17201,0.7303259
645,185.169090367,15.056767375,3,24.42507,23.3258,21.96549,21.69507,1.483327
646,185.075666043,15.0044145856,3,23.46645,23.70291,23.27039,21.63027,0.8249454
647,185.110502258,15.0609013593,3,25.25335,25.62357,25.56333,21.75763,0.7750232
648,185.164228879,15.0431942727,3,25.52573,22.32348,22.87634,23.02041,2.544248
649,185.199844582,15.1526484651,3,22.82515,23.3718,21.45386,21.4022,0.9515337
650,185.199844645,15.1526486454,3,22.05622,22.99996,21.48869,21.28846,2.252392
651,185.164413621,15.0849035339,3,23.02215,22.67734,21.26858,20.99608,1.23773
652,185.057636734,15.0035574817,6,20.77948,19.76588,19.38098,19.23141,0.4580118
653,185.057581476,15.1627652596,6,21.19439,20.14777,19.57697,19.4249,0.6111757
654,185.057940601,15.0935892384,3,22.38857,22.46787,21.41816,21.21395,0.8266253
655,185.057503528,15.0130235039,6,24.5158,23.21082,24.80359,24.24795,3.184766
656,185.057155625,15.1420849708,3,24.44267,21.54764,20.50974,20.00597,1.370159
657,185.019061363,15.0081264034,3,22.26392,21.8452,21.21508,21.21671,0.9193633
658,185.1348063,15.0030719015,3,21.77338,19.75654,18.75471,18.259,2.690115
659,185.057603786,15.1627650805,6,21.38303,20.16272,19.66278,19.44803,0.6784119
660,185.05763536,15.003550429,6,20.80844,19.80567,19.38269,19.21309,0.7630102
661,185.057647554,15.0035484477,6,20.78679,19.80571,19.37621,19.21696,0.7505469
662,185.097697679,15.0578431178,6,23.66298,23.54898,21.7375,20.70888,0.5158231
663,185.057874675,15.093509669,3,23.86938,22.28135,21.26437,20.75753,0.7242168
664,185.057874675,15.093509669,3,23.33749,22.28135,21.26437,20.75753,0.7242168
665,185.057184605,15.1420644011,3,22.74912,21.62909,20.50328,20.16878,1.016664
666,185.019038857,15.0081576369,3,21.70641,21.48895,20.82043,20.86847,1.016189
667,185.134382776,15.086288737,3,21.03963,21.45436,20.64485,20.44035,1.104355
668,185.098070067,15.167866761,3,24.81352,24.46941,22.50451,22.62089,0.7568883
669,185.164424552,15.1857427081,3,22.35294,20.85457,19.20333,18.6729,1.24104
670,185.164424552,15.1857427084,3,22.35648,20.848,19.19725,18.66652,1.244138
671,185.199913037,15.1691400967,3,24.80484,24.31522,22.45731,22.69339,0.9192497
672,185.164758066,15.0594526857,6,20.47548,19.45438,18.99015,18.82365,0.6187757
673,185.164777378,15.059460268,6,20.35499,19.43247,18.96559,18.78251,10.60362
674,185.16439086,15.0848995946,3,23.16386,22.65794,21.2995,21.00915,1.222655
675,185.164420147,15.185745595,3,22.42831,20.91717,19.25423,18.72196,1.203984
676,185.164132757,15.1588457554,3,24.34471,22.62237,23.02868,22.36408,0.7968265
677,185.164166043,15.1488997799,6,25.53865,22.16066,21.33714,20.1469,0.9347044
678,185.164830028,15.1490595281,6,24.09664,22.28981,21.88346,20.78073,0.8605917
679,185.164717827,15.1428382271,6,25.02338,22.12846,21.24969,19.89704,0.8368926
680,185.16433364,15.0848577872,3,23.07121,22.27028,21.23031,20.89676,1.365049
681,185.164230655,15.0304755585,3,22.65017,21.85768,21.70501,21.37776,1.509037
682,185.164423659,15.1857201864,3,22.86797,20.78635,19.13577,18.56886,1.4485
683,185.19984374,15.1691072863,3,25.3341,23.66481,22.24562,22.28423,0.8189713
684,185.19969877,15.152468562,3,24.31988,23.94839,22.27747,21.57269,0.7760996
685,185.164164798,15.1519556392,3,24.676,22.41879,25.06232,24.05942,0.4413925
686,185.164757758,15.1387981487,6,26.16171,24.99486,24.71535,21.96782,0.8015206
687,185.134766597,15.0030843624,3,23.89893,20.10294,19.05821,18.73125,2.784475
688,185.164114241,15.0236157558,6,21.95624,25.3556,23.44941,24.95587,-9999.0
689,185.134854486,15.0995555968,3,23.1777,22.74087,22.27015,21.24948,0.7595882
690,185.098325174,15.0621144003,6,25.28015,23.68872,22.79923,21.83431,0.3495134
691,185.018854673,15.1976693569,6,24.51589,25.13481,24.11066,21.98166,0.3837362
692,185.164126799,15.0304911563,3,23.52537,21.95665,21.62055,21.73679,1.317681
693,185.134505308,15.1769306183,3,21.28332,21.90948,21.19134,21.34356,0.1051225
694,185.13420294,15.1197877946,3,20.24829,21.17608,19.96578,19.32584,3.550466
695,185.134387704,15.0738385523,3,22.02837,21.94113,21.28511,21.4079,0.1247882
696,185.134741097,15.0030939124,3,23.0148,20.1004,19.16183,18.74345,1.869353
697,185.098079537,15.0754658483,6,23.17905,22.78264,22.48386,24.13807,-9999.0
698,185.164094424,15.0236106837,6,21.89548,25.38645,23.44283,25.1502,-9999.0
699,185.097763827,15.1542964713,3,19.6714,18.38172,17.74506,17.41459,1.992858
700,185.097746621,15.1542849102,3,19.36034,18.33679,17.68896,17.31013,2.026112
701,185.057613478,15.0035553906,6,20.73136,19.78651,19.37315,19.21113,0.6725194
702,185.134277766,15.1328773557,3,24.8244,24.49882,22.31223,23.01213,0.7235816
703,185.163949519,15.0194817514,3,23.9207,22.73292,22.92285,22.33469,1.647672
704,185.134805042,15.0030761114,3,22.56734,20.13655,19.14264,18.62767,1.854055
705,185.134889444,15.1386481045,3,23.65689,25.61205,23.54013,21.23194,1.259913
706,185.134886784,15.0994481994,6,23.53695,23.87583,22.16756,21.61853,0.9254242
707,185.09776615,15.0578861829,6,25.14372,23.1879,21.90323,20.86322,0.6022395
708,185.056946926,15.0382204369,3,25.46695,23.4577,22.14804,21.84212,0.06780437
709,185.134395307,15.0738905772,3,22.27621,21.74475,21.24456,20.93971,1.928984
710,185.134546943,15.1769035587,6,22.92749,22.50976,22.1183,22.86968,1.165128
711,185.134257206,15.1197504822,3,23.2641,22.48246,22.22955,22.02861,1.269388
712,185.134340466,15.0862530514,3,21.74084,21.3833,20.5586,20.4837,1.195656
713,185.134340469,15.0862530566,3,21.72954,21.37273,20.54821,20.46917,2.738351
714,185.098644415,15.0955077335,6,24.42638,23.13725,23.06489,23.10333,0.5669963
715,185.098481329,15.1007476102,3,22.45474,21.95149,21.85322,21.48363,0.9744612
716,185.098134131,15.0753401829,6,23.60199,22.90493,22.53304,22.40816,0.7302653
717,185.097788557,15.1542675523,3,19.40881,18.34254,17.72207,17.36094,1.97808
718,185.097782938,15.1542678787,3,19.31672,18.29419,17.67132,17.30904,2.138305
719,185.199884666,15.0672659392,3,21.44229,26.32216,24.16297,23.1335,-9999.0
720,185.164177558,15.1589367812,6,24.03293,22.54952,23.37131,22.9894,0.6764576
721,185.164110452,15.0304848346,3,23.44777,21.44684,21.02372,21.07842,2.312755
722,185.164752856,15.0594532812,6,20.48691,19.48677,18.9793,18.80932,0.6224326
723,185.164752856,15.0594532812,6,20.48694,19.48685,18.97934,18.80937,0.622433
724,185.164771497,15.0594600217,6,20.46595,19.50362,18.98917,18.875,0.5572128
725,185.164761412,15.0594414765,6,20.56033,19.42567,19.01653,18.86885,0.7666277
726,185.164761412,15.0594414765,6,20.56025,19.42573,19.0165,18.86888,0.7645583
727,185.164770981,15.059443162,6,20.547,19.43022,19.01796,18.86854,0.7676141
728,185.16459118,15.1439822886,3,30.06098,16.41712,15.79491,9.112584,3.895075
729,185.057640589,15.0035622463,6,20.72523,19.75734,19.37458,19.22158,0.4671344
730,185.163882756,15.1404549049,3,19.13856,19.07718,20.16522,14.00245,3.132508
731,185.13489113,15.0994416987,3,23.8276,23.81,22.15929,21.6135,0.9741822
732,185.134392572,15.0738945282,3,22.86208,22.09124,21.49567,21.34218,1.276738
733,185.134553089,15.1769049095,6,23.18363,22.52571,22.12196,23.07519,1.047997
734,185.134264809,15.1197895006,3,23.36382,22.52237,22.3047,22.05025,1.240445
735,185.134340334,15.0862563321,3,21.95937,21.60988,20.74925,20.66359,1.15385
736,185.134340334,15.0862563329,3,21.95896,21.60974,20.74915,20.66281,1.145381
737,185.189163023,15.1975512752,6,26.11512,24.50371,26.04464,22.25306,0.2379424
738,185.068820522,15.0138143696,6,21.80829,19.63525,18.16529,16.58133,0.7100427
739,185.068820522,15.0138143696,6,21.80827,19.63524,18.16529,16.58132,0.7100457
740,185.068831336,15.0138133887,6,21.75345,19.63115,18.15843,16.58292,0.7091417
741,185.034958728,15.0260001707,6,19.12823,17.97303,17.47727,17.22804,0.6876393
742,185.034969357,15.0259976104,6,19.12414,17.97157,17.47297,17.22624,0.6887664
743,185.03425107,15.0315250432,6,19.867,17.4171,16.09635,15.47586,0.6817652
744,185.034261219,15.0315225264,6,19.84994,17.41463,16.09366,15.47394,0.6823594
745,185.106963284,15.1508612756,6,23.69093,22.77726,21.99924,21.62196,0.5690483
746,185.189753722,15.0748652467,3,24.56761,23.62096,21.92106,21.44162,0.4053647
747,185.189773359,15.1730233789,3,23.76007,23.57895,22.15855,21.35866,0.8909222
748,185.189307534,15.0195628662,6,24.57944,23.41003,22.3646,21.78313,-9999.0
749,185.163465732,15.0824269772,6,24.5091,25.15985,22.49278,24.66479,-9999.0
750,185.163412465,15.1001786665,3,24.30155,23.066,21.89655,22.30772,0.9120617
751,185.189395593,15.1995107923,3,27.01798,23.46927,21.85725,20.74471,1.355567
752,185.068502513,15.0069950664,3,24.3991,23.12865,23.29553,23.13005,1.827687
753,185.107669361,15.1138477917,3,25.12607,22.56299,21.77908,21.91153,2.190715
754,185.107481426,15.0484138353,3,22.51476,23.88049,21.73156,21.88028,2.009092
755,185.107788007,15.1043300458,3,23.30042,22.49305,21.74515,22.02562,0.5603786
756,185.107275641,15.1633241023,3,22.10771,21.78113,21.21224,21.3788,1.345084
757,185.107981834,15.1567479367,3,22.10225,21.14935,20.66792,20.3052,1.14546
758,185.068873436,15.0201403215,6,21.3673,20.48989,20.25579,20.10273,0.6169627
759,185.034506133,15.1812441314,3,25.29939,22.5206,21.90925,21.89507,1.083006
760,185.068924285,15.1453859631,3,22.18783,22.08954,21.89974,21.13456,2.194784
761,185.068573763,15.0069440946,6,25.16132,22.91198,23.38882,22.90738,1.089942
762,185.068226204,15.0501284637,3,25.49143,22.29438,23.09501,22.2589,1.083881
763,185.035103402,15.0976751308,6,24.40351,22.07873,20.68145,19.09828,0.7285748
764,185.035227224,15.0135567413,6,24.18616,21.34896,19.88164,19.07122,0.6873925
765,185.034432677,15.1812552247,3,23.01478,22.72659,21.6748,21.19698,1.505182
766,185.034579398,15.1433066792,3,21.99415,22.53967,21.66093,21.22481,1.464107
767,185.034297094,15.1888457455,3,22.80773,23.13847,22.34285,21.55695,0.9690522
768,185.034279132,15.1604937673,3,24.42778,22.2484,21.62354,20.82874,1.182909
769,185.189642204,15.1425818749,3,23.02361,23.88689,21.02566,20.6774,-9999.0
770,185.188967419,15.1844048922,3,22.35129,21.51291,20.54175,20.2458,1.444422
771,185.163498257,15.1359477333,3,21.57485,20.95236,20.51041,20.07804,0.7018471
772,185.06897393,15.1453458018,3,22.66124,22.20897,21.26841,21.3884,3.236072
773,185.068373897,15.0927321559,3,25.18513,23.30898,22.5444,21.05458,0.5932039
774,185.068671195,15.0955851292,6,21.91736,21.11688,20.56141,20.53345,0.7538723
775,185.068671195,15.0955851292,6,21.91686,21.11632,20.56089,20.5327,0.7538748
776,185.068129984,15.1047405558,6,26.21267,22.95926,23.74212,23.84544,0.3594657
777,185.163613421,15.0123431556,6,23.95747,22.72861,25.07345,24.13349,-9999.0
778,185.163619486,15.0254289852,3,24.40743,22.06459,20.35373,19.78658,1.015646
779,185.163059065,15.0675052964,6,20.72137,19.36033,18.87432,18.6931,0.6190681
780,185.163078436,15.0675126083,6,20.58951,19.33958,18.84901,18.6541,8.702511
781,185.162744491,15.161452437,3,22.52367,20.73484,20.87585,20.71967,1.08948
782,185.163408823,15.1001917028,3,24.86436,23.21175,22.10656,22.54116,-9999.0
783,185.163447372,15.0824512203,6,25.03565,25.28016,22.45267,24.58948,-9999.0
784,185.163585454,15.0123361113,6,23.61572,22.7814,25.05157,23.99573,-9999.0
785,185.163613638,15.0254268365,3,25.08817,22.09205,20.40696,19.83583,0.9578744
786,185.163040085,15.1301402326,6,25.07926,26.50021,23.18609,22.56439,2.409737
787,185.162620193,15.1327720011,6,23.09517,24.55525,22.60261,22.89461,0.9686687
788,185.162827819,15.1363927093,6,24.15269,23.90458,22.00742,20.80517,0.6384031
789,185.163621688,15.0254150433,3,24.13404,22.16437,20.62222,19.99235,0.9367023
790,185.162798056,15.0780959416,3,23.28343,22.76721,23.51001,22.15567,-9999.0
791,185.16306005,15.0674882794,6,20.80453,19.39709,18.87269,18.72601,0.8017642
792,185.163069747,15.0674896057,6,20.77104,19.4006,18.87439,18.72286,0.8076308
793,185.189929946,15.1475029681,3,24.78864,22.77318,22.18535,24.98346,-9999.0
794,185.163494302,15.1359455257,3,21.81712,20.82699,20.32135,24.29686,-9999.0
795,185.108042693,15.1567295715,3,22.88619,21.08579,20.50385,20.29835,0.7264524
796,185.108042693,15.1567295715,3,22.45616,21.08579,20.50385,20.29835,0.7264524
797,185.034482107,15.1431725312,3,22.60226,22.83924,21.76709,21.93452,1.005777
798,185.034256166,15.1865165556,3,22.93534,22.5855,21.20806,20.5443,1.383893
799,185.068055916,15.0152440627,3,25.26343,24.71155,23.91417,22.0202,0.7939403
800,185.068796387,15.0138245766,6,21.97964,19.70814,18.2264,16.60251,0.6166417
801,185.068796387,15.0138245766,6,21.93084,19.70815,18.22641,16.6025,0.6167683
802,185.068815252,15.0138312552,6,21.70797,19.69106,18.22092,16.59977,0.6185312
803,185.034948001,15.0260032937,6,19.16464,17.9834,17.44401,17.2392,0.6080066
804,185.034967274,15.026010206,6,19.13234,17.97825,17.43984,17.22829,18.45545
805,185.03423755,15.031529941,6,19.96964,17.42619,16.08163,15.49693,0.6066155
806,185.034257085,15.0315370356,3,19.91641,17.42071,16.07825,15.49137,28.0673
807,185.107337087,15.1461490779,3,24.3007,23.95332,23.99245,21.76894,0.6229805
808,185.106940905,15.1509030451,6,24.20792,22.56873,21.96372,21.31666,0.5158475
809,185.034674177,15.0449981511,6,24.15186,22.77034,23.2632,22.80923,0.7457826
810,185.107584505,15.1138289843,3,22.88709,22.96202,21.40894,21.57585,0.335301
811,185.10744336,15.0484077659,3,25.79697,23.38772,21.81166,21.40227,-9999.0
812,185.068069462,15.038362097,6,24.4709,24.08175,22.71058,22.8537,0.4413449
813,185.034506215,15.0829013397,6,23.89374,26.03167,22.56381,25.03235,-9999.0
814,185.034270144,15.1865214236,3,24.19764,22.71909,21.31584,20.19548,1.198486
815,185.107765974,15.1043693057,6,23.09131,22.66916,22.14441,22.34575,0.1410052
816,185.107377791,15.1634304599,3,23.00066,21.54797,21.03649,20.84526,1.208613
817,185.106974662,15.1374860274,6,23.30928,22.59196,22.19297,22.74508,0.8510815
818,185.068831211,15.1943241357,6,22.03895,24.74971,25.08034,24.49717,-9999.0
819,185.068897856,15.0201346768,6,21.31064,20.53898,20.33802,20.12323,0.7288188
820,185.068708687,15.0955864801,6,21.72303,21.24787,20.64591,20.473,0.6596651
821,185.162832158,15.1363786834,6,23.10945,25.05837,23.67068,21.59295,0.332931
822,185.163588259,15.0612056234,6,24.821,22.70128,24.29068,25.29316,-9999.0
823,185.163052802,15.0675055657,6,20.73926,19.39399,18.86177,18.67624,0.6235473
824,185.1630716,15.0675122808,6,20.71288,19.40651,18.86878,18.70521,0.5636317
825,185.068410956,15.0927509531,6,24.94237,23.359,22.84576,21.11099,0.8152161
826,185.163450201,15.1359740067,3,21.77184,17.56185,15.14013,13.91429,3.871604
827,185.162650324,15.1399959888,3,24.59727,21.73309,20.77771,20.11071,0.7159484
828,185.189804477,15.0747749744,6,24.70587,23.7919,22.71208,21.63833,1.070796
829,185.189732071,15.1730826035,3,23.47996,23.34071,21.85003,21.74128,1.304138
830,185.163485296,15.1001192394,3,23.68788,23.04564,22.11231,21.71211,1.019537
831,185.189597042,15.1425701681,3,24.89896,22.6788,21.80146,21.3534,0.5822453
832,185.18900653,15.1843087793,3,22.59443,21.6426,20.7204,20.53291,1.055559
833,185.035083121,15.0976709206,6,24.01707,22.01169,20.59291,19.0673,0.5929045
834,185.03521621,15.0135469296,6,24.18657,21.32853,19.90042,19.08255,0.5801845
835,185.034298852,15.1603925465,3,22.90908,22.09713,21.6879,20.98581,1.345891
836,185.189323089,15.0196352945,3,25.31519,22.91909,21.14019,20.85733,1.036561
837,185.18928277,15.1996295363,3,23.13405,22.91783,21.46888,20.5057,5.25584
838,185.188947627,15.0730588253,3,25.43863,23.20224,22.34663,23.13101,0.09647129
839,185.167974969,15.0037845265,3,23.12434,23.32687,21.8897,21.36591,4.83957
840,185.167701744,15.113605235,3,23.69495,23.89269,22.12609,21.66784,1.291649
841,185.167377055,15.069568742,3,26.50975,22.34097,23.20227,22.18173,0.311048
842,185.167647422,15.1843259645,3,23.18992,22.37964,21.5217,20.96758,0.7102242
843,185.105696166,15.0024594007,3,22.93126,22.88894,21.81301,21.40961,0.7266819
844,185.105037009,15.1164645246,3,22.05804,22.35544,21.49621,21.10128,0.5810037
845,185.167289063,15.0660569661,3,22.13791,22.43073,21.31931,20.94296,1.535006
846,185.140466581,15.0811090045,3,23.467,22.43222,21.526,21.2022,1.099995
847,185.035965112,15.1261169756,3,21.82569,21.84345,21.04986,21.00872,1.692351
848,185.10518766,15.1053347768,6,22.57612,24.36935,25.59424,24.5059,-9999.0
849,185.10498966,15.1820817993,3,21.79049,21.65329,21.02784,20.95228,1.118883
850,185.07103667,15.1701104177,6,22.14909,24.03026,25.02936,24.89068,-9999.0
851,185.105188723,15.0742744406,6,16.05048,14.81892,14.43157,14.2736,0.7612871
852,185.105188723,15.0742744339,6,12.51325,14.81796,14.43138,14.27215,25.92152
853,185.070718278,15.062901898,3,22.80919,21.54369,20.64551,20.15497,0.912881
854,185.035742153,15.0555656383,3,24.63565,22.87622,25.14178,24.59364,-9999.0
855,185.070728212,15.1959758803,3,23.34701,23.06251,23.41363,23.33681,1.981298
856,185.070404905,15.0185473178,3,22.74972,22.15281,21.09029,21.62567,3.453646
857,185.071058686,15.0201739129,3,22.66908,22.79798,21.55335,21.30671,1.110124
858,185.071058664,15.020173841,3,22.65613,22.78501,21.53819,21.2926,1.141705
859,185.035963956,15.1261178151,3,21.95586,22.06022,21.22464,21.2422,1.182066
860,185.167862477,15.0037872,3,23.49322,22.83283,22.09258,21.52131,0.6623671
861,185.168234741,15.1875038462,3,22.3353,-9999.0,22.1676,21.86952,0.7567359
862,185.167954212,15.0037696873,3,23.22597,23.11386,21.62636,21.15303,5.034228
863,185.167710485,15.1136098623,3,24.11034,23.91714,22.18162,21.82042,1.190011
864,185.167891048,15.1262874854,6,24.28851,25.13806,22.81106,23.24103,-9999.0
865,185.168201001,15.1837095528,6,23.76698,23.33634,24.36131,25.07328,4.505647
866,185.168078887,15.1400009412,6,22.88868,24.56856,24.71545,21.82334,0.6737815
867,185.168015197,15.1599577439,6,25.52624,22.96983,24.14184,22.75181,-9999.0
868,185.167358415,15.0695843414,3,26.46706,22.35462,23.15163,22.10321,0.5385419
869,185.104676967,15.0062179449,6,24.80178,24.19578,23.70662,21.63815,1.437293
870,185.070798012,15.0525995956,3,22.19184,25.01615,22.77913,21.33658,0.4918627
871,185.035327969,15.0562531895,6,24.00558,25.32177,25.23172,22.00585,-9999.0
872,185.16762338,15.1843302748,3,23.55085,22.78077,21.89568,21.17617,0.6914599
873,185.071028762,15.0706560502,6,23.71401,23.22721,22.1055,22.06099,0.6495341
874,185.036366316,15.053443655,6,25.12126,23.03417,21.85058,20.90792,0.5034656
875,185.104991374,15.1820772373,3,22.76283,21.54529,21.01866,20.96737,0.5102841
876,185.071057193,15.0201377787,3,22.48934,22.52047,21.38863,21.09377,0.6227906
877,185.070627457,15.1959953138,3,23.72506,22.36331,22.53585,23.74477,-9999.0
878,185.070663451,15.0628929464,3,22.58372,20.83079,20.07164,19.73728,1.49049
879,185.036058149,15.1260896384,3,23.48437,21.75951,21.10614,20.82425,1.630056
880,185.140870797,15.1497575163,3,23.9527,23.39019,24.9501,21.4246,1.675067
881,185.140256041,15.1314953382,3,25.1465,25.19701,23.66348,22.10147,0.6830621
882,185.167327803,15.1571375049,3,24.32973,25.31628,24.58683,22.38041,0.585076
883,185.035963205,15.0494475179,6,24.35618,25.29767,24.88373,25.24638,0.07642256
884,185.167693213,15.1843226249,3,24.53514,24.02543,22.10285,21.48573,0.8216108
885,185.167693212,15.1843226229,3,21.87071,23.17928,22.1024,21.48688,0.8096221
886,185.139922754,15.08836623,6,21.6586,19.4732,18.48882,18.1301,0.7872114
887,185.13993152,15.0883673105,6,21.58605,19.4754,18.48864,18.12731,0.7899158
888,185.167575473,15.1439539677,3,20.29959,24.99559,24.71588,17.92339,3.575377
889,185.070950414,15.0705980435,3,25.76114,23.13377,21.94754,21.76083,1.215799
890,185.036355046,15.0534102998,3,24.09061,22.6525,21.53556,20.50493,0.8680159
891,185.105729089,15.0025215962,3,23.0527,22.38773,21.73444,21.56741,0.5718316
892,185.168441819,15.1502493861,3,23.9574,22.97966,24.71675,22.94854,0.5089265
893,185.168359071,15.150236014,3,23.38791,-9999.0,21.61929,20.48314,0.6518692
894,185.16772674,15.1135638631,3,23.82891,23.24803,21.88018,21.4236,0.8753648
895,185.167845701,15.1618086773,3,26.74891,21.55466,23.4896,23.06354,-9999.0
896,185.168084242,15.1423336469,6,24.47295,24.9954,24.71574,18.23577,0.773164
897,185.104795062,15.006163278,3,23.40353,23.77641,23.27661,22.07379,0.4140887
898,185.105722589,15.0025250047,3,22.99464,22.35886,21.66636,21.52885,0.5698044
899,185.10480306,15.0061500386,3,23.40983,23.78632,23.3325,22.06706,0.383343
900,185.167280715,15.0660458861,3,22.16923,22.48292,21.35741,20.99207,1.453052
901,185.139903466,15.0883815721,6,22.86592,19.52187,18.46803,18.07215,0.6013288
902,185.139922978,15.0883886885,6,22.5904,19.52664,18.46772,18.08306,0.5822819
903,185.105160169,15.0742878419,6,16.06798,14.84864,14.40761,15.30383,0.8040264
904,185.105169416,15.074296253,6,12.47161,14.85212,14.40565,10.46442,27.07495
905,185.167454094,15.0637017965,3,24.29908,22.40601,22.04348,25.14104,-9999.0
906,185.167270221,15.0660952366,3,22.34697,21.9611,21.26905,20.92851,1.229776
907,185.035827212,15.060650436,3,25.69625,23.85662,22.45891,24.65902,-9999.0
908,185.105760299,15.0025366801,3,22.99313,22.94753,22.02318,21.79331,1.284848
909,185.105716837,15.1025504478,3,21.85431,20.92742,20.69235,20.26254,1.968051
910,185.104936642,15.1164134789,3,22.71043,22.65194,21.53763,21.18504,1.166321
911,185.168223872,15.1876538628,3,26.48117,23.78144,22.62778,20.8391,2.415193
912,185.167863293,15.0038083239,3,23.32225,23.38104,22.1399,21.61577,0.7781193
913,185.140454001,15.08100337,3,22.92478,22.56672,21.06339,20.78291,0.8478566
914,185.170696597,15.0429103895,3,22.8334,22.84109,22.20494,21.56676,0.606092
915,185.169724631,15.027914708,3,24.11146,23.21804,22.91731,21.72378,0.7464588
916,185.033770271,15.1577798415,6,24.24054,20.58942,19.0559,17.72593,0.6923274
917,185.033777856,15.1577778165,6,24.03886,20.60299,19.04936,17.72502,0.6924679
918,185.104499923,15.0767826882,6,23.93621,22.86021,23.5157,24.05485,0.8625696
919,185.141600658,15.1768615846,6,23.72425,20.64556,19.19011,18.23517,0.5964293
920,185.141619984,15.1768686983,6,23.62566,20.66966,19.1892,18.24544,0.5797936
921,185.104482282,15.0593398415,3,23.08536,23.37679,21.88015,20.6678,0.9390301
922,185.141942273,15.0087825738,3,22.27421,22.25612,21.62042,21.7286,0.8797858
923,185.141705899,15.0070815011,3,22.593,24.23127,21.79278,20.63175,0.9727077
924,185.141942714,15.0087837024,3,22.15581,22.15856,21.46453,20.40587,6.187094
925,185.141608132,15.1110931572,3,24.2687,21.89002,20.82635,20.41044,0.7103286
926,185.141608901,15.1110928334,3,23.67392,21.60739,20.46967,20.01048,44.40025
927,185.103930425,15.0097305664,3,21.95971,21.08764,19.8512,19.24838,1.100747
928,185.103930425,15.0097305664,3,21.76995,21.08764,19.8512,19.24838,1.100747
929,185.141930954,15.0659428927,3,25.21371,22.23987,21.1753,20.95691,1.194388
930,185.067599106,15.0224158962,3,23.617,22.8145,22.30338,22.50887,0.8714991
931,185.067117251,15.1831477654,3,23.49031,23.00293,22.0559,22.59927,0.2953176
932,185.170452292,15.004028442,6,24.27578,21.61763,20.11435,19.05873,0.7089936
933,185.170446897,15.0039928555,6,24.69133,21.62007,20.16659,19.0733,0.7745601
934,185.170752231,15.1475196459,3,24.51951,25.01212,19.0305,16.01192,2.956978
935,185.170788118,15.1404060953,6,24.47243,24.99501,24.71546,18.71974,0.7849435
936,185.170641137,15.147629916,3,22.24091,21.15573,23.49734,19.35919,0.7305819
937,185.17042695,15.004011002,6,22.50527,21.5844,20.16432,19.02108,0.4461489
938,185.170426942,15.0040110111,3,22.80828,21.58445,20.16437,19.02113,0.4461756
939,185.14173887,15.0070448168,3,-9999.0,-9999.0,21.51262,20.52142,0.792828
940,185.169848787,15.0140154978,6,21.48026,20.49369,20.35504,20.26743,0.5382897
941,185.170025673,15.1385697663,3,25.06776,26.18586,27.01876,18.26041,0.8729318
942,185.170067894,15.1468559517,6,24.5731,25.8655,27.45912,15.0547,3.485844
943,185.141499064,15.0951999459,3,24.94976,22.9688,21.69536,20.83656,3.082047
944,185.06708409,15.0838308902,3,23.59307,23.68617,22.21907,21.43975,0.6823968
945,185.067485463,15.094088283,6,24.53968,23.5199,23.92073,22.43043,0.8014398
946,185.067487961,15.0907053146,6,24.94452,22.83888,22.41068,22.55376,0.9787345
